GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
BSU36510-MONOMER	plasma membrane	RXN-9615	AMMONIUM	AMMONIUM	1.0	0.0
BSU37260-MONOMER	cytosol	RXN0-3501	NITRATE,PROTON,Menaquinols	NITRITE,WATER,Menaquinones,PROTON	1.0	0.0
BSU38050-MONOMER	plasma membrane	SUCROSEPHOSPHO-RXN	Hpr-pi-phospho-L-histidines,SUCROSE	Hpr-Histidine,CPD-15716	1.0	0.0
BSU39270-MONOMER	plasma membrane	TRANS-RXN8J2-109	BETA-GLUCOSIDES,PHOSPHO-ENOL-PYRUVATE	Beta-Glucoside-6-P,PYRUVATE	1.0	0.0
BSU39390-MONOMER	plasma membrane	TRANS-RXN8J2-102	HIS,PROTON	HIS,PROTON	1.0	0.0
CPLX8J2-101	plasma membrane	ATPSYN-RXN	ADP,Pi,PROTON	ATP,WATER,PROTON	1.0	1.0
CPLX8J2-101	plasma membrane	ATPSYN-RXN	ADP,Pi,PROTON	ATP,WATER,PROTON	1.0	1.0
CPLX8J2-101	plasma membrane	ATPSYN-RXN	ADP,Pi,PROTON	ATP,WATER,PROTON	1.0	1.0
CPLX8J2-101	plasma membrane	ATPSYN-RXN	ADP,Pi,PROTON	ATP,WATER,PROTON	1.0	1.0
CPLX8J2-101	plasma membrane	ATPSYN-RXN	ADP,Pi,PROTON	ATP,WATER,PROTON	1.0	1.0
CPLX8J2-101	plasma membrane	ATPSYN-RXN	ADP,Pi,PROTON	ATP,WATER,PROTON	1.0	1.0
CPLX8J2-101	plasma membrane	ATPSYN-RXN	ADP,Pi,PROTON	ATP,WATER,PROTON	1.0	1.0
CPLX8J2-101	plasma membrane	ATPSYN-RXN	ADP,Pi,PROTON	ATP,WATER,PROTON	1.0	1.0
CPLX8J2-102	plasma membrane	RXN0-5266	OXYGEN-MOLECULE,PROTON,Ubiquinols	WATER,Ubiquinones,PROTON	1.0	0.0
CPLX8J2-102	plasma membrane	RXN0-5266	OXYGEN-MOLECULE,PROTON,Ubiquinols	WATER,Ubiquinones,PROTON	1.0	0.0
CPLX8J2-116	plasma membrane	TRANS-RXN-156	Hpr-pi-phospho-L-histidines,MANNITOL	MANNITOL-1P,Hpr-Histidine	1.0	0.0
CPLX8J2-116	cytosol	TRANS-RXN-156	Hpr-pi-phospho-L-histidines,MANNITOL	MANNITOL-1P,Hpr-Histidine	1.0	0.0
CPLX8J2-116	plasma membrane	TRANS-RXN-156	Hpr-pi-phospho-L-histidines,MANNITOL	MANNITOL-1P,Hpr-Histidine	1.0	0.0
CPLX8J2-117	plasma membrane	TRANS-RXN8J2-108	FRU,PHOSPHO-ENOL-PYRUVATE	FRUCTOSE-6P,PYRUVATE	1.0	0.0
CPLX8J2-117	plasma membrane	TRANS-RXN8J2-108	FRU,PHOSPHO-ENOL-PYRUVATE	FRUCTOSE-6P,PYRUVATE	1.0	0.0
CPLX8J2-117	cytosol	TRANS-RXN8J2-108	FRU,PHOSPHO-ENOL-PYRUVATE	FRUCTOSE-6P,PYRUVATE	1.0	0.0
CPLX8J2-117	plasma membrane	TRANS-RXN8J2-108	FRU,PHOSPHO-ENOL-PYRUVATE	FRUCTOSE-6P,PYRUVATE	1.0	0.0
CPLX8J2-117	cytosol	TRANS-RXN8J2-108	FRU,PHOSPHO-ENOL-PYRUVATE	FRUCTOSE-6P,PYRUVATE	1.0	0.0
